Timestamp,Scenario,AvgThroughputMbps,AvgDelayMs,TotalPackets,TotalBytes,DroppedPackets,ControlMessages,HandoverEvents,RrcStateChanges,ContinuityChecks,StatePreserved
1,Pre-Baseline Normal,7.43813,0,12,1860,0,0,0,0,0,0
1,Baseline Failure – Duplicate Agents,7.43813,0,12,1860,0,14,0,0,0,0
1,Baseline Failure Complete,7.43813,0,12,1860,0,0,0,0,0,0
1,Periodic Check,7.43813,0,12,1860,0,0,0,0,0,0
3,Periodic Check,3.1488,151.467,162,216060,0,0,0,0,0,0
5,Periodic Check,3.14073,522.358,445,620184,0,0,0,0,0,0
7,Periodic Check,3.13902,903.567,727,1022880,0,1,0,0,0,0
9,Periodic Check,3.13823,1287.4,1009,1425576,0,3,0,0,0,0
11,Periodic Check,3.13792,1672.54,1292,1829700,0,2,0,0,0,0
13,Periodic Check,3.13775,2057.69,1575,2233824,78,3,0,0,0,0
15,Periodic Check,3.1376,2388.52,1847,2622240,541,2,0,0,0,0
17,Periodic Check,3.13752,2677.61,2106,2992092,1041,1,0,0,0,0
19,Periodic Check,3.13747,2979.63,2367,3364800,1541,0,0,0,0,0
21,Periodic Check,3.1374,3286.07,2626,3734652,2041,0,0,0,0,0
23,Periodic Check,3.13736,3600.26,2886,4105932,2541,0,0,0,0,0
25,Periodic Check,3.13735,3919.29,3147,4478640,3041,0,0,0,0,0
27,Periodic Check,3.13588,4182.55,3376,4805652,3648,0,0,0,0,0
27,Continuity Success – Crash Recovery,3.13588,4182.55,3376,4805652,3648,0,0,0,1,0
29,Periodic Check,3.13586,4297.42,3522,5014140,4348,1,0,0,1,0
31,Periodic Check,3.13588,4425.31,3669,5224056,5048,3,0,0,1,0
33,Periodic Check,3.13585,4562.87,3815,5432544,5748,2,0,0,1,0
35,Periodic Check,3.13578,4708.57,3959,5638176,6448,3,0,0,1,0
35,Continuity Success – Process Restart,3.13578,4708.57,3959,5638176,6448,1,0,0,2,0
37,Periodic Check,3.13579,4866.29,4106,5848092,7148,1,0,0,2,0
39,Periodic Check,3.13579,5030.9,4252,6056580,7848,3,0,0,2,0
41,Periodic Check,3.13524,5181.4,4380,6239364,8613,17,0,0,0,0
43,Periodic Check,3.13388,5212.67,4405,6275064,9488,1,0,0,0,0
45,Periodic Check,3.13388,5212.67,4405,6275064,10388,2,0,0,0,0
47,Periodic Check,3.13388,5212.67,4405,6275064,11288,1,0,0,0,0
49,Periodic Check,3.13388,5212.67,4405,6275064,12188,2,0,0,0,0
51,Periodic Check,3.13388,5212.67,4405,6275064,13088,1,0,0,0,0
53,Periodic Check,3.13388,5212.67,4405,6275064,13988,2,0,0,0,0
55,Periodic Check,3.13388,5212.67,4405,6275064,14888,1,0,0,0,0
57,Periodic Check,3.13388,5212.67,4405,6275064,15788,2,0,0,0,0
59,Periodic Check,3.13388,5212.67,4405,6275064,16688,1,0,0,0,0
61,Periodic Check,3.13388,5212.67,4405,6275064,17588,0,0,0,0,0
63,Periodic Check,3.13388,5212.67,4405,6275064,18488,0,0,0,0,0
65,Periodic Check,3.13388,5212.67,4405,6275064,19388,0,0,0,0,0
67,Periodic Check,3.13388,5212.67,4405,6275064,20288,0,0,0,0,0
69,Periodic Check,3.13388,5212.67,4405,6275064,21188,0,0,0,0,0
71,Periodic Check,3.13388,5212.67,4405,6275064,22088,0,0,0,0,0
73,Periodic Check,3.13388,5212.67,4405,6275064,22988,0,0,0,0,0
75,Periodic Check,3.13388,5212.67,4405,6275064,23888,0,0,0,0,0
77,Periodic Check,3.13388,5212.67,4405,6275064,24788,0,0,0,0,0
79,Periodic Check,3.13388,5212.67,4405,6275064,25688,0,0,0,0,0
81,Periodic Check,3.13388,5212.67,4405,6275064,26588,0,0,0,0,0
83,Periodic Check,3.13388,5212.67,4405,6275064,27488,0,0,0,0,0
85,Periodic Check,3.13388,5212.67,4405,6275064,28388,0,0,0,0,0
